family,backend,rows,row_bytes,group,field_bits,key_layout,leaf_bits,partitions,count_only,distribution,update_every,mutation,queries_per_run,runs,verified_answers,phase_meter_complete,online_server_mean_ms,online_server_p95_ms,client_p95_ms,total_server_plus_lifecycle_ms,all_participant_ms,upload_max,download_max,index_bytes,caps,raw
wavelet,dense,256,96,32,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,11.64311034375,12.008956,5.902379,15.97238728125,21.6896899375,7272,22536,67774,pass,../../../target/pir-index-compositions-screen-v1/016-wavelet-dense-n256-g32-r0/result.json;../../../target/pir-index-compositions-screen-v1/016-wavelet-dense-n256-g32-r1/result.json;../../../target/pir-index-compositions-screen-v1/016-wavelet-dense-n256-g32-r2/result.json
wavelet,path,256,96,8,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,9.311111833333333,9.618948,13.989671,12.80900778125,26.4568315,590970,587196,107326,pass,../../../target/pir-index-compositions-screen-v1/017-wavelet-path-n256-g8-r0/result.json;../../../target/pir-index-compositions-screen-v1/017-wavelet-path-n256-g8-r1/result.json;../../../target/pir-index-compositions-screen-v1/017-wavelet-path-n256-g8-r2/result.json
wavelet,path,256,96,32,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,8.91701078125,9.309832,13.210397,11.821904562499999,24.617779,537336,533988,67774,pass,../../../target/pir-index-compositions-screen-v1/018-wavelet-path-n256-g32-r0/result.json;../../../target/pir-index-compositions-screen-v1/018-wavelet-path-n256-g32-r1/result.json;../../../target/pir-index-compositions-screen-v1/018-wavelet-path-n256-g32-r2/result.json
posting,dense,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.3234855729166667,0.377723,0.197468,4.382737187499999,4.554832343749999,178,1186,106655,pass,../../../target/pir-index-compositions-screen-v1/019-posting-dense-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/019-posting-dense-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/019-posting-dense-n256-g4-r2/result.json
posting,path,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.32906839583333336,0.351676,0.501154,3.42087621875,3.87193640625,28887,28793,106655,pass,../../../target/pir-index-compositions-screen-v1/020-posting-path-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/020-posting-path-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/020-posting-path-n256-g4-r2/result.json
posting,singlepass,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.18638210416666667,0.210833,0.21515,4.270345875,4.46302946875,118,4610,106655,pass,../../../target/pir-index-compositions-screen-v1/021-posting-singlepass-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/021-posting-singlepass-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/021-posting-singlepass-n256-g4-r2/result.json
authenticated,dense,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,15.038020354166667,15.636953,3.771272,19.433814562499997,22.766730374999998,8680,15880,276480,pass,../../../target/pir-index-compositions-screen-v1/022-authenticated-dense-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/022-authenticated-dense-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/022-authenticated-dense-n256-g4-r2/result.json
authenticated,path,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,5.8174514791666665,6.02044,8.946353,9.8197555625,18.360901437499997,422488,420380,276480,pass,../../../target/pir-index-compositions-screen-v1/023-authenticated-path-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/023-authenticated-path-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/023-authenticated-path-n256-g4-r2/result.json
authenticated,path,256,96,4,0,contiguous,0,4,False,shuffled,4,value,12,3,36,True,5.840472,6.04051,8.963532,17.615297916666666,26.15210925,422478,420380,276480,pass,../../../target/pir-index-compositions-screen-v1/024-authenticated-path-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/024-authenticated-path-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/024-authenticated-path-n256-g4-r2/result.json
authenticated,path,256,96,4,0,contiguous,0,4,False,shuffled,4,delete,12,3,36,True,5.7580295277777775,6.006241,8.964487,17.258409416666666,25.79810675,422480,420380,276480,pass,../../../target/pir-index-compositions-screen-v1/025-authenticated-path-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/025-authenticated-path-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/025-authenticated-path-n256-g4-r2/result.json
authenticated,path,256,96,4,0,contiguous,0,4,False,shuffled,4,insert,12,3,36,True,5.788545833333333,6.016567,8.834053,17.38243975,25.979424166666664,422486,420380,276480,pass,../../../target/pir-index-compositions-screen-v1/026-authenticated-path-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/026-authenticated-path-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/026-authenticated-path-n256-g4-r2/result.json
posting,singlepass,256,32,4,0,contiguous,0,4,False,shuffled,4,value,12,3,36,True,0.1789907222222222,0.209219,0.196355,31.45567583333333,31.635073083333328,118,1858,40863,pass,../../../target/pir-index-compositions-screen-v1/027-posting-singlepass-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/027-posting-singlepass-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/027-posting-singlepass-n256-g4-r2/result.json
bitmap,path,256,32,16,0,contiguous,0,4,False,clustered,0,value,12,3,36,True,3.376561166666667,3.682287,8.132133,27.356662,34.745533583333334,65964,64977,83330,pass,../../../target/pir-index-compositions-screen-v1/028-bitmap-path-n256-g16-r0/result.json;../../../target/pir-index-compositions-screen-v1/028-bitmap-path-n256-g16-r1/result.json;../../../target/pir-index-compositions-screen-v1/028-bitmap-path-n256-g16-r2/result.json
wavelet,path,256,32,16,0,contiguous,0,4,True,clustered,0,value,12,3,36,True,6.590533333333333,6.762577,10.137662,13.292419166666663,23.114119416666664,204986,202016,30654,pass,../../../target/pir-index-compositions-screen-v1/029-wavelet-path-n256-g16-r0/result.json;../../../target/pir-index-compositions-screen-v1/029-wavelet-path-n256-g16-r1/result.json;../../../target/pir-index-compositions-screen-v1/029-wavelet-path-n256-g16-r2/result.json
radix,dense,1024,96,1,0,contiguous,0,4,False,shuffled,0,value,32,1,32,True,9.2302375,9.615723,2.059785,13.7695565625,15.6510695625,4774,13310,435625,pass,../../../target/pir-index-compositions-screen-v1/030-radix-dense-n1024-g1-r0/result.json
radix,dense,1024,96,1,0,contiguous,0,4,False,shuffled,0,value,32,2,64,True,9.724066859375,10.177513999999999,2.313644,15.145139734374997,17.190900593749998,4774,13310,435625,pass,../../../target/pir-index-compositions-screen-v1/030-radix-dense-n1024-g1-r1/result.json;../../../target/pir-index-compositions-screen-v1/030-radix-dense-n1024-g1-r2/result.json
radix,dense,1024,96,2,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,3.7303652291666665,3.970974,1.189282,8.5149476875,9.5850286875,1932,7260,290700,pass,../../../target/pir-index-compositions-screen-v1/031-radix-dense-n1024-g2-r0/result.json;../../../target/pir-index-compositions-screen-v1/031-radix-dense-n1024-g2-r1/result.json;../../../target/pir-index-compositions-screen-v1/031-radix-dense-n1024-g2-r2/result.json
radix,dense,1024,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,2.0472951458333335,2.142581,0.745679,6.32069353125,6.99127209375,1096,4840,232900,pass,../../../target/pir-index-compositions-screen-v1/032-radix-dense-n1024-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/032-radix-dense-n1024-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/032-radix-dense-n1024-g4-r2/result.json
radix,dense,1024,96,8,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,2.3049843958333334,2.418283,0.635232,6.86244796875,7.40722759375,798,8502,533544,pass,../../../target/pir-index-compositions-screen-v1/033-radix-dense-n1024-g8-r0/result.json;../../../target/pir-index-compositions-screen-v1/033-radix-dense-n1024-g8-r1/result.json;../../../target/pir-index-compositions-screen-v1/033-radix-dense-n1024-g8-r2/result.json
radix,path,1024,96,1,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,3.8393389791666666,3.95582,5.595634,10.363717625,15.81510596875,389691,388399,435625,pass,../../../target/pir-index-compositions-screen-v1/034-radix-path-n1024-g1-r0/result.json;../../../target/pir-index-compositions-screen-v1/034-radix-path-n1024-g1-r1/result.json;../../../target/pir-index-compositions-screen-v1/034-radix-path-n1024-g1-r2/result.json
