campaign,backend,block,canonical_file,clients,distribution,family,fanout,field_bits,finite_d,finite_m,group,hot_records,key_layout,leaf_bits,partitions,queries_per_client,row_bytes,rows,seed,verifier,workload,repeats,verified_answers,service_cpu_ms,service_min_ms,service_max_ms,full_campaign_server_cpu_ms,full_campaign_server_cpu_per_answer_ms,native_cpu_outside_request_phases_ms,server_client_setup_ms,global_publish_build_cpu_ms,server_online_cpu_ms,external_canonical_fixture_cpu_ms,logical_index_bytes,metadata_state_bytes,client_setup_cpu_ms,client_online_cpu_ms,complete_client_process_cpu_ms,setup_download_bytes,query_upload_bytes,query_download_bytes,p50_first_answer_wall_ms,p95_first_answer_wall_ms,max_client_rss_bytes,rss_qualified,budget_failures,median_private_reads,projected_G1_cpu_ms,projected_G16_cpu_ms,projected_G256_cpu_ms,projected_G4096_cpu_ms
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,xor,4,64,0,0,16,0,hashed,8,4,1,548,4096,1,,shinzo-logs,5,10,0.8521120000000006,0.832829999999997,0.9186260000000033,167.210095,83.6050475,27.04099399999999,0.1521435,165.372843,0.6999685000000007,0,3286728,80,6.5668745,0.226802,68.887,108,802,9378,188.74589650000001,193.089451,29667328,True,,1.0,166.224955,11.1879146875,1.4980996679687506,0.8924862292480475
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,binary-tags,4,64,0,0,16,0,hashed,8,4,1,548,4096,1,,shinzo-logs,5,10,3.975568999999992,3.8248145,4.747211999999999,311.62152199999997,155.81076099999999,53.14130700000001,0.143703,302.127098,3.792743999999992,0,6942720,106,6.726570000000001,0.73035,71.459,136,1398,109105,198.630761,237.21582,29630464,True,,3.0,306.102667,22.858512624999992,5.155752976562492,4.049330498535149
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,1,0,hashed,8,4,256,548,4096,1,,shinzo-logs,5,2560,0.35646489062499986,0.35313794140625043,0.3875407324218749,305.148363,0.595992896484375,28.605483000000106,0.1454105,123.85206899999997,0.3558205644531248,0,2318336,11024,6.63589,0.1874245,118.8075,11056,594,9268,338.11490549999996,372.200457,30928896,True,,1.0,124.20853389062498,8.097219203124999,0.8402620351562498,0.386702212158203
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,16,0,hashed,8,4,256,548,4096,1,,shinzo-logs,5,2560,3.0552316875000014,3.0445068984375,3.1049972265625003,1683.611857,3.288304408203125,29.155137999999397,0.1453905,119.31645400000002,3.0545659960937517,0,2314496,785,6.6051655,0.5577135,215.2215,817,114,144866,1122.165715,1144.81975,31145984,True,,1.0,122.37168568750002,10.512510062500002,3.5213115859375015,3.084361681152345
pir-indexed-use-cases-v1/campaign,singlepass,32,,2,clustered,directory,4,64,0,0,1,0,hashed,8,4,1,548,4096,1,,shinzo-logs,5,10,105.07651000000001,104.603523,105.53025899999999,326.15871500000003,163.07935750000001,20.415534000000008,104.105552,116.23359100000002,1.0108875000000044,0,2318336,606992,25.1194195,0.412593,88.5505,4661134,121,36517,307.4577845,316.224219,43335680,True,,1.0,221.31010100000003,112.34110943750001,105.53054746484376,105.10488734155275
pir-indexed-use-cases-v1/campaign,singlepass,32,,2,clustered,directory,4,64,0,0,16,0,hashed,8,4,1,548,4096,1,,shinzo-logs,5,10,102.74848949999999,102.48195250000002,103.451259,313.257999,156.6289995,17.782357999999988,91.1534695,106.76024699999999,11.540660499999994,0,2314496,580433,26.0332335,1.756822,89.86249999999998,4630734,109,578914,305.498517,314.567057,43261952,True,,1.0,209.5087365,109.42100493749999,103.16552171484373,102.77455401342773
pir-indexed-use-cases-v1/campaign,singlepass,32,,2,clustered,directory,4,64,0,0,1,0,hashed,8,4,256,548,4096,1,,shinzo-logs,5,2560,1.2304860000000009,1.221305894531251,1.2330415000000006,755.854907,1.476279115234375,29.88992699999949,104.53073,124.56555299999968,0.8227083457031237,0,2318336,606992,25.592424,0.254038,156.027,4661133,122,36518,585.835661,618.777243,43470848,True,,1.0,125.79603899999968,9.015833062499981,1.7170701914062496,1.2608975119628913
pir-indexed-use-cases-v1/campaign,singlepass,32,,2,clustered,directory,4,64,0,0,16,0,hashed,8,4,256,548,4096,1,,shinzo-logs,5,2560,11.786465345703117,11.763065673828125,11.814202783203111,6154.748313000001,12.020992798828127,31.32321600000523,91.35564350000003,119.91031900000598,11.427453861328118,0,2314496,580433,26.112820499999998,1.7112565000000002,529.0685000000001,4630742,112,578931,3598.4061975,3637.61811,43339776,True,,1.0,131.6967843457091,19.28086028320349,12.25486502929689,11.815740325927727
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,1,0,hashed,8,4,1,548,65536,1,,shinzo-logs,5,10,4.423258499999983,4.160183500000015,4.7335270000000165,2072.50922,1036.25461,343.9596449999999,0.471764,2063.390176,3.9295589999999834,0,37093376,174865,7.459011,1.589776,71.0015,174897,8274,9268,194.64160850000002,218.162898,31727616,True,,1.0,2067.8134345,133.38514449999997,12.483376374999983,4.9270158671874835
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,4,0,hashed,8,4,1,548,65536,1,,shinzo-logs,5,10,3.9390815000000066,3.57711300000001,4.196662000000002,1936.6878390000002,968.3439195000001,308.4732019999999,0.200814,1928.809676,3.7382675000000063,0,37044224,43792,6.876167000000001,0.575596,70.9675,43824,2130,36388,196.501183,212.121397,30027776,True,,1.0,1932.7487575,124.48968625,11.473494296875007,4.409982299804694
